키워드순번,키워드명,등록일시
6905,Immune Functional Assay,2023-05-03
6906,Lens free Shadow Imaging Technology,2023-05-03
6907,In vitro Diagnostics,2023-05-03
6908,Optoelectronic Device,2023-05-03
6909,기술사업화,2023-05-03
6910,기술이전,2023-05-03
6911,기술사업화 역량 강화,2023-05-03
6912,기술사업화 전문인력 역량강화,2023-05-03
6913,기술사업화 전문기관,2023-05-03
6914,Technology Commercialization,2023-05-03
6915,Technology Transfer,2023-05-03
6916,Formulate of Technology,2023-05-03
6917,Technical human resources,2023-05-03
6918,Technology evaluation,2023-05-03
6919,울릉도자생식물,2023-05-03
6920,엑소좀,2023-05-03
6921,후성유전학,2023-05-03
6922,지질나노입자,2023-05-03
6923,항노화,2023-05-03
6924,화장품,2023-05-03
6925,Ulleung island native plants,2023-05-03
6926,Exosome,2023-05-03
6927,Epigenetics,2023-05-03
6928,Lipid nanoparticles,2023-05-03
6929,Antiaging,2023-05-03
6930,Cosmetics,2023-05-03
6931,고분해능,2023-05-02
6932,X선 형광분석,2023-05-02
6933,이차전지 소재,2023-05-02
6934,전이금속,2023-05-02
6935,산화수,2023-05-02
6936,High resolution,2023-05-02
6937,X ray fluorescence,2023-05-02
6938,Battery materials,2023-05-02
6939,Transition metal,2023-05-02
6940,Valence state,2023-05-02
6941,총 휘발성유기화합물,2023-05-02
6942,에폭시,2023-05-02
6943,경화제,2023-05-02
6944,액상필름함침성형,2023-05-02
6945,탄소섬유,2023-05-02
6946,아민 변성,2023-05-02
6947,TVOC,2023-05-02
6948,epoxy,2023-05-02
6949,hardener,2023-05-02
6950,SMC,2023-05-02
6951,Carbon fiber,2023-05-02
6952,Amine adduct,2023-05-02
6953,Carbon,2023-05-02
6954,Grounding,2023-05-02
6955,Recycling,2023-05-02
6956,High Conductivtiy,2023-05-02
6957,Lightening,2023-05-02
6958,탄소,2023-05-02
6959,접지,2023-05-02
6960,재활용,2023-05-02
6961,고전도성,2023-05-02
6962,경량화,2023-05-02
6963,전기자동차,2023-05-02
6964,자율주행,2023-05-02
6965,트레일러,2023-05-02
6966,충전서비스,2023-05-02
6967,모빌리티플랫폼,2023-05-02
6968,Autonomous Driving,2023-05-02
6969,Trailer,2023-05-02
6970,Mobility Platform,2023-05-02
6971,광추적시스템,2023-05-02
6972,물체 인식,2023-05-02
6973,서비스 로봇,2023-05-02
6974,로봇 메니퓰레이터,2023-05-02
6975,로봇 제어,2023-05-02
6976,Optical Tracking System,2023-05-02
6977,Object Recognition,2023-05-02
6978,Service Robot,2023-05-02
6979,Robot Manipulator,2023-05-02
6980,Robot Control,2023-05-02
6981,초고속 용액 원심방사 장치,2023-05-02
6982,초고속 용융 원심방사 장치,2023-05-02
6983,나노섬유,2023-05-02
6984,고속생산,2023-05-02
6985,대량생산,2023-05-02
6986,Ultra high speed solution centrifugal spinning device,2023-05-02
6987,Ultra high speed melting centrifugal spinning device,2023-05-02
6988,Nano fiber,2023-05-02
6989,High speed production,2023-05-02
6990,Mass production,2023-05-02
6991,K바이오,2023-05-02
6992,스피루리나,2023-05-02
6993,ICT융합,2023-05-02
6994,성장촉진,2023-05-02
6995,농업,2023-05-02
6996,K bio,2023-05-02
6997,Spirulina,2023-05-02
6998,ICT Convergence,2023-05-02
6999,growth promotion,2023-05-02
7000,Agriculture,2023-05-02
7001,딥테크,2023-05-02
7002,스타트업,2023-05-02
7003,포럼,2023-05-02
7004,연구집단,2023-05-02
7005,투자유치,2023-05-02
7006,팁스,2023-05-02
7007,사이언스센터,2023-05-02
7008,사후관리,2023-05-02
7009,Deeptech,2023-05-02
7010,Startup,2023-05-02
7011,Forum,2023-05-02
7012,Investment,2023-05-02
7013,TIPS,2023-05-02
7014,Science center,2023-05-02
7015,IR,2023-05-02
7016,Networking,2023-05-02
7017,이상진단,2023-05-02
7018,빅데이터,2023-05-02
7019,클라우드,2023-05-02
7020,anomaly diagnosis,2023-05-02
7021,big data,2023-05-02
7022,cloud,2023-05-02
7023,산업 현장 맞춤형,2023-05-02
7024,안전 관리,2023-05-02
7025,다채널 CCTV,2023-05-02
7026,스케일러블 영상 분석,2023-05-02
7027,딥러닝,2023-05-02
7028,customized in industrial sites,2023-05-02
7029,safety management,2023-05-02
7030,scalable video analysis,2023-05-02
7031,deep learning,2023-05-02
7032,Veterinary drugs,2023-04-28
7033,Development platform,2023-04-28
7034,Efficacy study,2023-04-28
7035,Functional feed,2023-04-28
7036,농생명 소재,2023-04-28
7037,동물용의약품,2023-04-28
7038,개발 플랫폼,2023-04-28
7039,활성평가,2023-04-28
7040,기능성펫푸드,2023-04-28
7041,Bioagriculture Material,2023-04-28
7042,기업모집 국내외 협력기관,2023-04-27
7043,기업 역량강화 컨설팅 엑셀러레이팅,2023-04-27
7044,해외실증 및 공적개발원조 인허가 획득지원,2023-04-27
7045,시장분석 실질적인 바이어연계,2023-04-27
7046,지속가능 해외진출 플랫폼,2023-04-27
7047,Recruitment Cooperative Organization,2023-04-27
7048,Corporate Capacity Enhancement Consulting Accelerating,2023-04-27
7049,POC ODA Licenses Obtaining Support,2023-04-27
7050,Market Analysis Substantial Buyer Linkage,2023-04-27
7051,Sustainable Overseas Expansion Platform,2023-04-27
7052,인증,2023-04-27
7053,시험,2023-04-27
7054,교육,2023-04-27
7055,컨설팅,2023-04-27
7056,맞춤형,2023-04-27
7057,certification,2023-04-27
7058,test,2023-04-27
7059,academy,2023-04-27
7060,consulting,2023-04-27
7061,customizing,2023-04-27
7062,투자,2023-04-26
7063,약셀러레이팅,2023-04-26
7064,컴퍼니빌딩,2023-04-26
7065,벤처캐피탈,2023-04-26
7066,오픈이노베이션,2023-04-26
7067,Investment,2023-04-26
7068,Accelerating,2023-04-26
7069,Company Building,2023-04-26
7070,Venture Capital,2023-04-26
7071,Open Innovation,2023-04-26
7072,Startup,2023-04-26
7073,네트워크,2023-04-26
7074,기술금융,2023-04-26
7075,오픈이노베이션,2023-04-26
7076,투자,2023-04-26
7077,스타트업,2023-04-26
7078,Network,2023-04-26
7079,Technology Finance,2023-04-26
7080,Open Innovation,2023-04-26
7081,Investment,2023-04-26
7082,글로벌 사업화,2023-04-26
7083,글로벌 마케팅,2023-04-26
7084,국제조달,2023-04-26
7085,기술사업화,2023-04-26
7086,융합형 컨설팅,2023-04-26
7087,Global Commercialization,2023-04-26
7088,Global Marketing,2023-04-26
7089,Global Procurement,2023-04-26
7090,Technology commercialization,2023-04-26
7091,Convergence Consulting,2023-04-26
7092,공공기술,2023-04-25
7093,기술혁신,2023-04-25
7094,창업기업,2023-04-25
7095,시제품,2023-04-25
7096,일자리 창출,2023-04-25
7097,Public technology,2023-04-25
7098,Technology innovation,2023-04-25
7099,Start up company,2023-04-25
7100,Prototype,2023-04-25
7101,Creating a job,2023-04-25
7102,창업,2023-04-25
7103,창업지원,2023-04-25
7104,창업캠퍼스 운영,2023-04-25
7105,창업보육센터,2023-04-25
7106,창업 활성화,2023-04-25
7107,Startup,2023-04-25
7108,Support for startup,2023-04-25
7109,Operation of startup campus,2023-04-25
7110,Business incubator,2023-04-25
7111,Scale up vitalization,2023-04-25
7112,창업,2023-04-25
7113,투자,2023-04-25
7114,투자유치,2023-04-25
7115,교육,2023-04-25
7116,멘토링,2023-04-25
7117,Startup,2023-04-25
7118,Funding,2023-04-25
7119,Followup Funding,2023-04-25
7120,Education,2023-04-25
7121,Mentoring,2023-04-25
7122,기술이전,2023-04-25
7123,기술사업화,2023-04-25
7124,BM개발,2023-04-25
7125,전략산업,2023-04-25
7126,수요기업,2023-04-25
7127,technology transfer,2023-04-25
7128,Technical commercialization,2023-04-25
7129,BM Development,2023-04-25
7130,Strategic Industry,2023-04-25
7131,a company in demand,2023-04-25
7132,액셀러레이팅,2023-04-24
7133,오픈이노베이션,2023-04-24
7134,투자,2023-04-24
7135,글로벌,2023-04-24
7136,스케일업,2023-04-24
7137,Accelerating,2023-04-24
7138,Open Innovation,2023-04-24
7139,Investment,2023-04-24
7140,Global,2023-04-24
7141,Scale up,2023-04-24
7142,기술사업화,2023-04-24
7143,정보교류,2023-04-24
7144,기술창업,2023-04-24
7145,예비창업자,2023-04-24
7146,Network Space,2023-04-24
7147,Technology Commercialization,2023-04-24
7148,Information Exchange,2023-04-24
7149,Technology Startup,2023-04-24
7150,Preliminary Founder,2023-04-24
7151,교류공간,2023-04-24
7152,수요형,2023-04-24
7153,기술이전,2023-04-24
7154,기술마케팅,2023-04-24
7155,비즈니스모델,2023-04-24
7156,기술사업화,2023-04-24
7157,Demand Pull,2023-04-24
7158,Tech Transfer,2023-04-24
7159,Tech Marketing,2023-04-24
7160,Business Model,2023-04-24
7161,Tech Commercialization,2023-04-24
7162,전략기술,2023-04-24
7163,비즈니스모델,2023-04-24
7164,수요발굴 기술매칭,2023-04-24
7165,공동기술마케팅,2023-04-24
7166,기술이전 출자,2023-04-24
7167,Strategy Technology,2023-04-24
7168,Business Model,2023-04-24
7169,Demand Discovery and Technology Matching,2023-04-24
7170,Marketing of Joint Technical,2023-04-24
7171,Technology Transfer and Investment,2023-04-24
7172,Education,2023-04-24
7173,Mentoring,2023-04-24
7174,창업,2023-04-24
7175,자금조달,2023-04-24
7176,투자유치,2023-04-24
7177,교육,2023-04-24
7178,멘토링,2023-04-24
7179,Startup,2023-04-24
7180,Funding,2023-04-24
7181,Follow up Funding,2023-04-24
7182,High Tech Company,2023-04-23
7183,Patent,2023-04-23
7184,Research and Development,2023-04-23
7185,Product,2023-04-23
7186,대구연구개발특구,2023-04-23
7187,첨단기술기업,2023-04-23
7188,특허,2023-04-23
7189,연구개발,2023-04-23
7190,제품,2023-04-23
7191,Innopolis Daegu,2023-04-23
7192,대구특구,2023-04-21
7193,미래모빌리티,2023-04-21
7194,산학융합,2023-04-21
7195,테크커넥트,2023-04-21
7196,Daegu Technopolis,2023-04-21
7197,innopolis Daegu,2023-04-21
7198,future mobility,2023-04-21
7199,industry academic convergence,2023-04-21
7200,tech connect,2023-04-21
7201,대구테크노폴리스,2023-04-21
7202,유망기술 발굴,2023-04-20
7203,수요기업 발굴,2023-04-20
7204,기술이전,2023-04-20
7205,공공연구기관,2023-04-20
7206,연구소기업,2023-04-20
7207,Discovering Promising Technologies,2023-04-20
7208,Technology Discovery,2023-04-20
7209,Technology Transfer,2023-04-20
7210,A Public Research Institute,2023-04-20
7211,INNOPOLIS Research Institute Spin off Company,2023-04-20
7212,창업 아이템 검증,2023-04-20
7213,신산업 융합기술,2023-04-20
7214,해외시장개척,2023-04-20
7215,공동협업,2023-04-20
7216,연구소기업 및 기술창업 지원,2023-04-20
7217,Deep Tech,2023-04-20
7218,Born to Global,2023-04-20
7219,Networking,2023-04-20
7220,BMP,2023-04-20
7221,Research Institute,2023-04-20
7222,유망연구실 발굴,2023-04-20
7223,수요기업 발굴,2023-04-20
7224,디지털 플랫폼 운영,2023-04-20
7225,매칭 네트워킹,2023-04-20
7226,사업화 연계,2023-04-20
7227,Discovering Promising Research Lab,2023-04-20
7228,Discovering Companies in demand,2023-04-20
7229,Digital Platform Operations,2023-04-20
7230,Matching Networking,2023-04-20
7231,Commercialization Linkage,2023-04-20
7232,유망기술발굴,2023-04-20
7233,기술이전 출자,2023-04-20
7234,연구소기업 설립,2023-04-20
7235,기술매칭 네트워크,2023-04-20
7236,비즈니스모델,2023-04-20
7237,Discovering Promising Technology,2023-04-20
7238,Technology Transfer,2023-04-20
7239,Research Institute Enterprise,2023-04-20
7240,Technology Matching Network,2023-04-20
7241,Business Model,2023-04-20
7242,대구특구,2023-04-20
7243,기술창업,2023-04-20
7244,연구소기업,2023-04-20
7245,스타트업 투자,2023-04-20
7246,액셀러레이팅,2023-04-20
7247,창업지원,2023-04-20
7248,연구개발특구진흥재단,2023-04-20
7249,유니콘 기업,2023-04-20
7250,DAEGU INNOVATION CLUSTER,2023-04-20
7251,technology startup,2023-04-20
7252,Research Institute Spinoff Company,2023-04-20
7253,investment,2023-04-20
7254,accelerating,2023-04-20
7255,startup incubating,2023-04-20
7256,INNOPOLIS,2023-04-20
7257,unicorn,2023-04-20
7258,유망기술,2023-04-20
7259,기술이전,2023-04-20
7260,연구소기업,2023-04-20
7261,promising technology,2023-04-20
7262,technology transfer,2023-04-20
7263,research institute spinoff company,2023-04-20
7264,연구소기업,2023-04-20
7265,수요기업,2023-04-20
7266,사업화전략,2023-04-20
7267,기술이전,2023-04-20
7268,수요기술,2023-04-20
7269,research institute,2023-04-20
7270,demand enterprise,2023-04-20
7271,business model,2023-04-20
7272,investment,2023-04-20
7273,demand technology,2023-04-20
7274,바이오,2023-04-20
7275,네트워크,2023-04-20
7276,연구회,2023-04-20
7277,농생명,2023-04-20
7278,전라북도,2023-04-20
7279,Bio,2023-04-20
7280,Network,2023-04-20
7281,Association for research,2023-04-20
7282,Agricultural life,2023-04-20
7283,Jeollabukdo,2023-04-20
7284,로컬콘텐츠,2023-04-20
7285,아이디어발굴,2023-04-20
7286,창업아이템검증,2023-04-20
7287,판로개척,2023-04-20
7288,공공기술 연계,2023-04-20
7289,Local Content,2023-04-20
7290,Discover,2023-04-20
7291,Verification,2023-04-20
7292,Market Development,2023-04-20
7293,Public Technology Linkage,2023-04-20
7294,기술사업화,2023-04-20
7295,멘토링,2023-04-20
7296,비즈니스 모델,2023-04-20
7297,마케팅,2023-04-20
7298,후속지원,2023-04-20
7299,Technology Commercialization,2023-04-20
7300,Mentoring,2023-04-20
7301,Business Model,2023-04-20
7302,Marketing,2023-04-20
7303,followup and support,2023-04-20
7304,연구소기업,2023-04-19
7305,기술사업화,2023-04-19
7306,랩투마켓,2023-04-19
7307,Technology Transper,2023-04-19
7308,research institute,2023-04-19
7309,technology commercialization,2023-04-19
7310,lab to market,2023-04-19
7311,기술이전,2023-04-19
7312,내화유리,2023-04-19
7313,내화물질,2023-04-19
7314,유리벽체,2023-04-19
7315,fire proof glass,2023-04-19
7316,fire resistant material,2023-04-19
7317,Wall of Glazed elements,2023-04-19
7318,신뢰성,2023-04-19
7319,시뮬레이션,2023-04-19
7320,시험인증,2023-04-19
7321,기업지원,2023-04-19
7322,Research and Development,2023-04-19
7323,Reliability,2023-04-19
7324,Simulation,2023-04-19
7325,Testing and Certification,2023-04-19
7326,Company Support,2023-04-19
7327,연구개발,2023-04-19
7328,연구소기업,2023-04-17
7329,기술사업화,2023-04-17
7330,기술이전,2023-04-17
7331,유망기술,2023-04-17
7332,비즈니스모델,2023-04-17
7333,research institute spin off company,2023-04-17
7334,Technology commercialization,2023-04-17
7335,Technology transfer,2023-04-17
7336,Promising technology,2023-04-17
7337,Business model,2023-04-17
7338,뇌졸중,2023-04-14
7339,생체신호,2023-04-14
7340,진료보조,2023-04-14
7341,일상케어,2023-04-14
7342,모니터링,2023-04-14
7343,Stroke,2023-04-14
7344,Biosignal,2023-04-14
7345,Medical support,2023-04-14
7346,Daily care,2023-04-14
7347,Monitoring,2023-04-14
7348,교류협력공간,2023-04-14
7349,어썸스페이스,2023-04-14
7350,투자,2023-04-14
7351,벤처캐피탈,2023-04-14
7352,창업생태계,2023-04-14
7353,Exchange and Cooperation space,2023-04-14
7354,Awesome space,2023-04-14
7355,Investment,2023-04-14
7356,Venture Capital,2023-04-14
7357,Startup ecosystem,2023-04-14
7358,배가공 부산물,2023-04-13
7359,기능성 원료,2023-04-13
7360,배식이섬유,2023-04-13
7361,식품 재가공기술,2023-04-13
7362,업사이클링 공정 기술,2023-04-13
7363,byproducts of pear processing,2023-04-13
7364,functional raw materials,2023-04-13
7365,pear dietary fibers,2023-04-13
7366,food upcycle,2023-04-13
7367,process technology for food upcycling,2023-04-13
7368,뉴로모픽,2023-04-13
7369,반도체,2023-04-13
7370,시각데이터,2023-04-13
7371,겹눈 구조,2023-04-13
7372,시신경,2023-04-13
7373,시냅스,2023-04-13
7374,스파이크 신경망,2023-04-13
7375,메모리 저항기,2023-04-13
7376,Neuromorphic,2023-04-13
7377,Semiconductor,2023-04-13
7378,Visual data,2023-04-13
7379,Compound eyes,2023-04-13
7380,Optic Nerve,2023-04-13
7381,Synapse,2023-04-13
7382,Spiking Neural Network,2023-04-13
7383,Memristor,2023-04-13
7384,커뮤터기,2023-04-13
7385,단거리 이착륙,2023-04-13
7386,분산 전기추진,2023-04-13
7387,전기에너지,2023-04-13
7388,수소연료전지,2023-04-13
7389,Commuter Class Aircraft,2023-04-13
7390,Short Take Off and Landing,2023-04-13
7391,Distributed Electric Propulsion,2023-04-13
7392,Electric Energy,2023-04-13
7393,Hydrogen Fuel Cell,2023-04-13
7394,연소가스,2023-04-13
7395,온배수,2023-04-13
7396,미세조류,2023-04-13
7397,초대량배양,2023-04-13
7398,해양바이오 전략소재,2023-04-13
7399,Flue gas,2023-04-13
7400,Thermal Effluent,2023-04-13
7401,Microalgae,2023-04-13
7402,Mass production,2023-04-13
7403,Strategic Marine Biomaterials,2023-04-13
7404,지속가능,2023-04-13
7405,폐배터리,2023-04-13
7406,재목적화,2023-04-13
7407,업싸이클링,2023-04-13
7408,무변형,2023-04-13
7409,Sustainability,2023-04-13
7410,Used battery,2023-04-13
7411,Re purpose,2023-04-13
7412,Up cycling,2023-04-13
7413,Non deformable,2023-04-13
7414,협업 플랫폼,2023-04-13
7415,블록체인,2023-04-13
7416,스마트 물류,2023-04-13
7417,기술사업화,2023-04-13
7418,실증,2023-04-13
7419,collabotation platform,2023-04-13
7420,block chain,2023-04-13
7421,smart transfortation,2023-04-13
7422,technology commercialization,2023-04-13
7423,substantiation,2023-04-13
7424,글로벌,2023-04-13
7425,혁신,2023-04-13
7426,네트워크,2023-04-13
7427,클러스터,2023-04-13
7428,기술사업화,2023-04-13
7429,워크숍,2023-04-13
7430,포럼,2023-04-13
7431,성과확산,2023-04-13
7432,Global,2023-04-13
7433,Innovation,2023-04-13
7434,Network,2023-04-13
7435,Cluster,2023-04-13
7436,Technology Commercialization,2023-04-13
7437,workshop,2023-04-13
7438,forum,2023-04-13
7439,Performance,2023-04-13
7440,사회문제해결,2023-04-13
7441,과학기술해결형 과제기획,2023-04-13
7442,전문가워킹그룹,2023-04-13
7443,연구개발,2023-04-13
7444,지역문제해결,2023-04-13
7445,Solving social problems,2023-04-13
7446,Science and Technology Solving Task Planning,2023-04-13
7447,Expert Working Group,2023-04-13
7448,RnD,2023-04-13
7449,Resolving regional problems,2023-04-13
7450,기술 숙련도,2023-04-12
7451,신뢰성,2023-04-12
7452,환경시험,2023-04-12
7453,특수성능시험,2023-04-12
7454,기업경쟁력,2023-04-12
7455,혁신,2023-04-12
7456,기술개발,2023-04-12
7457,안정성,2023-04-12
7458,TAS WINCH,2023-04-12
7459,BM,2023-04-12
7460,DSME,2023-04-12
7461,HHI,2023-04-12
7462,Innovation,2023-04-12
7463,Quality,2023-04-12
7464,연구소기업,2023-04-12
7465,애로해결,2023-04-12
7466,기업진단,2023-04-12
7467,역량강화,2023-04-12
7468,종합분석,2023-04-12
7469,research enterprise,2023-04-12
7470,troubleshoot,2023-04-12
7471,enterprise diagnostics,2023-04-12
7472,empowerment,2023-04-12
7473,comprehensive analysis,2023-04-12
7474,네트워킹,2023-04-12
7475,지역성장,2023-04-12
7476,협력,2023-04-12
7477,혁신,2023-04-12
7478,역량강화,2023-04-12
7479,Networking,2023-04-12
7480,Regional growth,2023-04-12
7481,Cooperation,2023-04-12
7482,Innovation,2023-04-12
7483,Empowerment,2023-04-12
7484,국제과학비즈니스벨트,2023-04-10
7485,기술스타트업,2023-04-10
7486,기술사업화,2023-04-10
7487,연구성과,2023-04-10
7488,International Science Business Belt,2023-04-10
7489,proof and certification cluster,2023-04-10
7490,Technology commercialization,2023-04-10
7491,Research Achievements,2023-04-10
7492,Technology start up,2023-04-10
7493,창업지원생태계,2023-04-05
7494,기술창업,2023-04-05
7495,투자인프라,2023-04-05
7496,기술이전플랫폼,2023-04-05
7497,연구소기업 및 기술창업 지원,2023-04-05
7498,startup supporting ecosystem,2023-04-05
7499,technology based startup,2023-04-05
7500,investment infra,2023-04-05
7501,technology transfer,2023-04-05
7502,Support for research institutes and technology start up,2023-04-05
7503,선순환 생태계,2023-04-05
7504,네트워크,2023-04-05
7505,협력,2023-04-05
7506,기술인,2023-04-05
7507,Innovation leader,2023-04-05
7508,Virtuous Cycle Ecosystem,2023-04-05
7509,Network,2023-04-05
7510,Cooperation,2023-04-05
7511,Technician,2023-04-05
7512,혁신주체,2023-04-05
7513,부산특구 발전전략,2023-04-05
7514,부산특구 혁신생태계,2023-04-05
7515,동남권특구 상생협력,2023-04-05
7516,부산 미래 신산업 신기술,2023-04-05
7517,부산형 기술창업,2023-04-05
7518,Busan Special Zone Development Strategy,2023-04-05
7519,Busan Special Zone Innovation Ecosystem,2023-04-05
7520,Busan type technology start up,2023-04-05
7521,Win win cooperation with Southeastern Special Zones,2023-04-05
7522,Busan future new industry new technology,2023-04-05
7523,강소연구개발특구,2023-04-03
7524,헬스케어,2023-04-03
7525,글로벌 시장,2023-04-03
7526,기업성장,2023-04-03
7527,임상시험지원,2023-04-03
7528,INNOPOLIS,2023-04-03
7529,Healthcare,2023-04-03
7530,Global Market,2023-04-03
7531,Enterprise,2023-04-03
7532,Clinical trial support,2023-04-03
7533,연구소기업,2023-04-03
7534,비즈니스모델,2023-04-03
7535,기업발굴,2023-04-03
7536,기술이전,2023-04-03
7537,기술협의체,2023-04-03
7538,INNOPOLIS Research Institute SPinoff Company,2023-04-03
7539,Business model,2023-04-03
7540,Company discovery,2023-04-03
7541,Technology transfer,2023-04-03
7542,Technical Council,2023-04-03
7543,해외 투자,2023-04-03
7544,IR 역량강화,2023-04-03
7545,Global Accelerating,2023-04-03
7546,International direct investment,2023-04-03
7547,IR Consulting,2023-04-03
7548,글로벌 액셀러레이팅,2023-04-03
7549,첨단기술기업 지정,2023-04-03
7550,첨단기술기업 발굴,2023-04-03
7551,첨단기술기업 성장지원,2023-04-03
7552,첨단기술기업 협의회,2023-04-03
7553,첨단기술제품 확인,2023-04-03
7554,오픈이노베이,2023-04-03
7555,Designation of high tech companies,2023-04-03
7556,Discover high tech companies,2023-04-03
7557,Support for the growth of high tech companies,2023-04-03
7558,a high tech conference,2023-04-03
7559,Check high tech products,2023-04-03
7560,Open Innovation,2023-04-03
7561,세종BCC,2023-04-03
7562,과학사업화,2023-04-03
7563,과학벨트,2023-04-03
7564,제이엔피글로벌,2023-04-03
7565,성과확산,2023-04-03
7566,Science Belt,2023-04-03
7567,sejongBCC,2023-04-03
7568,BCC,2023-04-03
7569,jnpglobal,2023-04-03
7570,Science Commercialization Comprehensive Support Project,2023-04-03
7571,연구개발특구,2023-04-03
7572,연구소기업,2023-04-03
7573,기술이전,2023-04-03
7574,양방향 기술발굴,2023-04-03
7575,기획창업,2023-04-03
7576,Innopolis,2023-04-03
7577,Innopolis Research based Spin off Company,2023-04-03
7578,Technology Transfer,2023-04-03
7579,Bidirectional Technology Excavation,2023-04-03
7580,Planned Joint Venture,2023-04-03
7581,창업,2023-04-03
7582,기술사업화,2023-04-03
7583,정기 교육,2023-04-03
7584,공간 운영,2023-04-03
7585,홍보,2023-04-03
7586,Foundation,2023-04-03
7587,Technology commercialization,2023-04-03
7588,Regular education,2023-04-03
7589,Space management,2023-04-03
7590,Marketing,2023-04-03
7591,technology transfer,2023-03-31
7592,technology investment,2023-03-31
7593,marketing,2023-03-31
7594,양방향,2023-03-31
7595,기술발굴,2023-03-31
7596,기술이전,2023-03-31
7597,사업화,2023-03-31
7598,기술마케팅,2023-03-31
7599,technology,2023-03-31
7600,기술창업,2023-03-31
7601,기술사업화,2023-03-31
7602,창업아이템 검증,2023-03-31
7603,창업프로그램,2023-03-31
7604,창업지원,2023-03-31
7605,Technology start up,2023-03-31
7606,Technology commercialization,2023-03-31
7607,Start up item verification,2023-03-31
7608,Startup Program,2023-03-31
7609,Startup support,2023-03-31
7610,지역혁신,2023-03-31
7611,사업기획,2023-03-31
7612,기술연구,2023-03-31
7613,역량강화,2023-03-31
7614,홍보,2023-03-31
7615,regional innovation,2023-03-31
7616,project planning,2023-03-31
7617,technology research,2023-03-31
7618,empowerment,2023-03-31
7619,promotion,2023-03-31
7620,과학,2023-03-31
7621,사업화,2023-03-31
7622,기업,2023-03-31
7623,컨설팅,2023-03-31
7624,비즈니스,2023-03-31
7625,천안,2023-03-31
7626,연구개발,2023-03-31
7627,science,2023-03-31
7628,commercialization,2023-03-31
7629,company,2023-03-31
7630,consulting,2023-03-31
7631,venture,2023-03-31
7632,business,2023-03-31
7633,Cheonan City,2023-03-31
7634,research and development,2023-03-31
7635,강소특구,2023-03-31
7636,특화성장,2023-03-31
7637,항공우주부품,2023-03-31
7638,항공우주소재,2023-03-31
7639,혁신 기술 지원,2023-03-31
7640,Innovation Cluster,2023-03-31
7641,Specialized Growth,2023-03-31
7642,Aerospace Parts,2023-03-31
7643,Aerospace Materials,2023-03-31
7644,Innovative Technique Support,2023-03-31
7645,아이템 발굴,2023-03-31
7646,비즈모델,2023-03-31
7647,사업화자금 지원,2023-03-31
7648,사업화 멘토링,2023-03-31
7649,Startup Education,2023-03-31
7650,Discovering Item,2023-03-31
7651,Business Model,2023-03-31
7652,Funding,2023-03-31
7653,창업교육,2023-03-31
7654,Commercialization Mentoring,2023-03-31
7655,기술사업화,2023-03-31
7656,기술금융,2023-03-31
7657,기업성장,2023-03-31
7658,신사업,2023-03-31
7659,펀드,2023-03-31
7660,technology commercialization,2023-03-31
7661,technology financing,2023-03-31
7662,company growth,2023-03-31
7663,Open innovation,2023-03-31
7664,innotown fund,2023-03-31
7665,연구소기업 애로해결,2023-03-30
7666,연구소기업 실태조사,2023-03-30
7667,연구소기업 경영진단,2023-03-30
7668,연구소기업 네트워킹,2023-03-30
7669,연구소기업 역량강화,2023-03-30
7670,Solving difficulties,2023-03-30
7671,research on the actual condition,2023-03-30
7672,management consultation,2023-03-30
7673,Networking,2023-03-30
7674,Capacity building,2023-03-30
7675,네트워크,2023-03-30
7676,기술사업화,2023-03-30
7677,기술금융,2023-03-30
7678,기업성장,2023-03-30
7679,신사업,2023-03-30
7680,network,2023-03-30
7681,technology commercialization,2023-03-30
7682,technology financing,2023-03-30
7683,company growth,2023-03-30
7684,Open innovation,2023-03-30
7685,공공기술이전,2023-03-30
7686,연구소기업,2023-03-30
7687,BM제작,2023-03-30
7688,기술이전설명회,2023-03-30
7689,후속지원,2023-03-30
7690,Public technology transfer,2023-03-30
7691,Research Institute,2023-03-30
7692,Business model,2023-03-30
7693,Technology transfer briefing session,2023-03-30
7694,Follow up support,2023-03-30
7695,기술창업,2023-03-30
7696,창업교육,2023-03-30
7697,아이템검증,2023-03-30
7698,투자 유치,2023-03-30
7699,성과공유,2023-03-30
7700,Technology startup,2023-03-30
7701,Startup Education,2023-03-30
7702,Item Verification,2023-03-30
7703,Investment Attraction,2023-03-30
7704,Performance Sharing,2023-03-30
7705,창업,2023-03-30
7706,사업화,2023-03-30
7707,투자,2023-03-30
7708,고용,2023-03-30
7709,Entrepreneurship,2023-03-30
7710,Startup,2023-03-30
7711,Business,2023-03-30
7712,Investment,2023-03-30
7713,Employment,2023-03-30
7714,기업가정신,2023-03-30
7715,혁신 네트워크,2023-03-30
7716,대중소기업 네트워크,2023-03-30
7717,연계협력,2023-03-30
7718,강소특구,2023-03-30
7719,네트워크 플랫폼,2023-03-30
7720,Innovation Network,2023-03-30
7721,Value Chain,2023-03-30
7722,Connective Cooperation,2023-03-30
7723,Innotown,2023-03-30
7724,Network Platform,2023-03-30
7725,기술이전,2023-03-30
7726,연구소기업,2023-03-30
7727,첨단기술기업,2023-03-30
7728,비즈니스모델,2023-03-30
7729,기술사업화,2023-03-30
7730,technology transfer,2023-03-30
7731,INNOPOLIS company,2023-03-30
7732,business model,2023-03-30
7733,Tech commercialization,2023-03-30
7734,지역혁신,2023-03-30
